,steps,dc1,dc2,dc3,dc4
0,1,-3.7793159483272034,0.28662236218889436,-0.017724121000827833,1.0460143269095623
1,2,-3.7603059061498905,0.2805310635980302,-0.016544672019294087,1.1152134190107017
2,3,-3.756697328856628,0.2727740287792008,-0.016441132604884574,1.0662164042126403
3,4,-3.760900804874454,0.2611049292316667,-0.018891865526819613,1.0304199763239796
4,5,-3.772819262405546,0.24165106241468703,-0.015385030577908122,0.9793306546355276
5,6,-3.7845302178367333,0.20513726548641348,-0.015169848664483211,0.8831256860828944
6,7,-3.8077437360318975,0.15468388643994485,-0.01309996071902738,0.6769202992712724
7,8,-3.8511802485943973,0.10191350587338129,-0.00919697496715663,0.48761975025957854
8,9,-3.934938961084973,0.0737257062993674,-0.002182404726596767,0.37153294633063993
9,10,-4.06851064552114,0.08218052535976555,0.0027694803103786862,0.31795146260862994
10,11,-4.280808448596806,0.12750876861139887,0.011410069528533554,0.28973707542226873
11,12,-4.647613384038117,0.17864919675725585,0.0230082846278666,0.2885580841946075
12,13,-5.264381761262644,0.22411699685719969,0.03305520919652399,0.23545338524068835
13,14,-6.232712129962162,0.2533416322465762,-0.02178106536021063,1.7640799180994597
14,15,-7.430539821299339,0.2691544966748342,-0.023624066936699096,1.277109130958202
15,16,-8.48056189659158,0.28116622617689785,-0.020144242269807083,-0.25280820944342125
16,17,-8.867932694676997,0.2845281148689929,-0.021139120990871924,-1.0769391791271599
17,18,-8.458606749500735,0.28893757451862395,-0.022046666466739303,-1.5144844713504193
18,19,-7.47722868437396,0.2891764314320858,-0.020703355107618077,-1.6418334145480953
19,20,-6.360166509998568,0.2912545760387174,-0.02253195120036265,-1.2687560424965194
20,21,-5.437206074716455,0.2908037000672407,0.004525148641669705,-1.7572895744592463
21,22,-4.77326436599479,0.2904172349488302,-0.004453969444467801,1.7924159614367638
22,23,-4.356728390767633,0.288707663556977,-0.010356616408542877,1.6842877955598121
23,24,-4.104352403108988,0.28573045079293474,-0.012101480627026333,1.6016331753505326
24,25,-3.95307090424681,0.28261547037093715,-0.013648269444030692,1.4877710688291925
25,26,-3.869727195956365,0.2776585184702182,-0.0134618984980936,1.3931860950514279
26,27,-3.8133115606216252,0.26786270123274225,-0.014063327444402663,1.3496707632905955
27,28,-3.7814648863846845,0.24947608646729896,-0.01204385869205058,1.3070598018872899
28,29,-3.7620140135656204,0.21865370408375476,-0.01505460479453177,1.2430946078688512
29,30,-3.753347906546679,0.17524347290127115,-0.01600806774983294,1.1480185368346547
30,31,-3.7549028364464814,0.12025539087975955,-0.014617038225809927,1.0402177691286527
31,32,-3.7594500713081307,0.0811651598287577,-0.014882639332338606,0.9755342671012456
32,33,-3.7703933580257507,0.07685321105390626,-0.013189094649692954,0.9295017264522628
33,34,-3.7811184558399864,0.11021892753846056,-0.014332529921867308,0.8886995057638962
34,35,-3.806307251536816,0.15991279527583777,-0.013840942789105767,0.8100845853908567
35,36,-3.851563192384156,0.2083408108313805,-0.013521321118537311,0.7222363209723525
36,37,-3.9320294788497665,0.24367821509597518,-0.012536346167546149,0.6513886091196348
37,38,-4.077657658694745,0.26374309042191896,-0.009205078051762555,0.5738113441518033
38,39,-4.314529766269751,0.2776746211834849,-0.00793199342589281,0.4821604304853676
39,40,-4.6817897814240235,0.2832282680702676,-0.0001557332323727306,0.4039686230491116
40,41,-5.362248835421681,0.28756437091501613,0.0056352712326861835,0.3777606678230292
41,42,-6.327244921449331,0.29105955428915,-0.02198814418902967,-1.2318897561038455
42,43,-7.553701668622581,0.29141470857620716,-0.02208538120430105,-1.3616807676259084
43,44,-8.517033285015106,0.2915175870220794,-0.020440455029291437,-0.9240147137822095
44,45,-8.814889636393303,0.2906659324092889,-0.02309556575184383,-0.6223119320606478
45,46,-8.333176628148523,0.28902166646568445,-0.022240240154548233,1.737693951299551
46,47,-7.360544821066358,0.28776565483085376,-0.020337815957616037,-0.4941337590692847
47,48,-6.263654878741854,0.2862305294993951,-0.02030990533286224,-0.8358426293148654
48,49,-5.323017580010947,0.282016986194511,0.018110420154929342,-1.6830542755206297
49,50,-4.727748379597277,0.27627636891479257,0.015357172074370044,-1.7121345682520883
50,51,-4.329406687218563,0.2638602823906969,0.007964457885532683,-1.7414206030034929
51,52,-4.0924517569169705,0.2435145041777595,0.0003187473884429194,-1.7722022927872634
52,53,-3.9494454061814213,0.2093615439334762,-0.001917703962801935,1.7808443146074793
53,54,-3.8616942820407334,0.15991995203729026,-0.00785006223709926,1.7083291978622135
54,55,-3.8114431511543603,0.10829554789822718,-0.009037614303239428,1.5995900676388672
55,56,-3.779239359569229,0.07822641465751533,-0.013393472450309946,1.4471620667335225
56,57,-3.7582130738105084,0.08493230013807355,-0.01382743764809582,1.2839889652009324
57,58,-3.7505809150238973,0.12299464132552655,-0.013526723174941298,1.1409052301257407
58,59,-3.7479136669998687,0.17430414796069182,-0.013009026102893846,1.067660176474739
59,60,-3.753295363096426,0.22129097067882936,-0.014693567358199567,1.031531877762511
60,61,-3.7622517949420478,0.25100673882285096,-0.01463774610869182,1.0258247730337744
61,62,-3.7748595512947154,0.268071141910033,-0.01655637647483594,1.0218324833152201
62,63,-3.792699388496086,0.27931262496082165,-0.01364376773036072,1.0016572419277645
63,64,-3.826970185978947,0.2858369076195328,-0.01391567123602737,0.9237391608311828
64,65,-3.8949026331488206,0.2880814469299245,-0.014311822038985442,0.8485583431310914
65,66,-4.0076074433107385,0.29033761597767627,-0.01475208963590926,0.739103588490373
66,67,-4.2250500516734455,0.2920606062972533,-0.011659412344634492,0.6110882200539675
67,68,-4.548185146010667,0.2912599436098086,-0.005022986052353014,0.45015502294785653
68,69,-5.137003079417235,0.2915032734991765,0.005617264378006287,0.36085761908413383
69,70,-6.0466076821062735,0.29149969511845064,-0.021801773243092556,-0.4829566002000814
70,71,-7.179247653622384,0.28837397955427724,-0.022104288401714862,-0.23825777597671247
71,72,-8.263601084950304,0.287671722336796,-0.022630088558367994,-0.6360465536915253
72,73,-8.775228237144178,0.28344297091382786,-0.02108690111230018,0.8209907015119665
73,74,-8.481458697513185,0.27631483650759936,-0.02281555916157122,-1.3884442263059842
74,75,-7.66672797345434,0.2645365963479128,-0.02077358184086982,-1.1438384332569087
75,76,-6.604083892738207,0.24271652527585869,-0.020313506703798223,1.7886204684330014
76,77,-5.614021909253159,0.20851883527249915,0.10809427436137993,-1.638310753353466
77,78,-4.887883895105514,0.1597437167865331,0.0869083094877324,-1.6547128650001832
78,79,-4.433391956344131,0.10979488942242759,0.04985920598381596,-1.675625199537534
79,80,-4.155748803096917,0.08002544556752027,0.019898500824645105,-1.713349340700619
80,81,-3.983278044723502,0.08952246801437422,-0.0010173612288064265,-1.7872223547778825
81,82,-3.89029483973436,0.1298266647266754,-0.008374962051018658,1.6533737152588115
82,83,-3.8255880260679924,0.17779306916855694,-0.011514457164461218,1.434785342434659
83,84,-3.7879660251412304,0.2219297116384221,-0.014024612706840857,1.2772415214754154
84,85,-3.7604813478396126,0.25107472805664444,-0.012386889273702906,1.178751027439752
85,86,-3.7493091854151133,0.2707728193581747,-0.01372209754821834,1.1035550027207954
86,87,-3.7450469319783717,0.2787830246133711,-0.015013189028767972,1.0776681839520221
87,88,-3.7482298182681584,0.2858127535496319,-0.013541128658685252,1.0662271385789048
88,89,-3.7540657035107197,0.2879696225322376,-0.013987698654747006,1.0511292524328966
89,90,-3.7591837917892104,0.29094057313001104,-0.013542029001419237,1.0456914013912113
90,91,-3.777400338811428,0.29079833249614984,-0.013734702346494258,1.0417751467670149
91,92,-3.790011657432132,0.29043602144764125,-0.014184873713492063,1.0044633841744797
92,93,-3.831399866002852,0.29161688708722694,-0.014246997362137737,0.9268449708026827
93,94,-3.9078764125192347,0.28882575012093636,-0.014768295805121182,0.7934570520526648
94,95,-4.043914967414992,0.2894546505335322,-0.01276053150831107,0.6411104534247795
95,96,-4.271266023696081,0.287094708444727,-0.00509501347107268,0.4857188729008698
96,97,-4.6625268182320125,0.2846157851967796,0.009679610793794114,0.35865796853116183
97,98,-5.323937535673321,0.27864257316987373,0.03391773753569162,0.26885068227004044
98,99,-6.260995645820468,0.2700830864732354,-0.022018755841985337,-1.20716045983021
99,100,-7.366351317599511,0.2514048336786206,-0.022069175035089032,1.5484282889781715
100,101,-8.400304893359989,0.2228090987018402,-0.020004689146037653,0.9679674334178063
101,102,-8.726084080980373,0.17904102944675568,-0.02039093617892182,-0.8168329611972627
